,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
6,52,XRP,XRP,xrp,1352,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,7,,,,2024-07-14T22:34:00.000Z,0.5269264449457786,1665563264.461316,-38.6735,-0.33814389,-0.13713888,24.1734968,11.26014129,1.73775244,6.52363073,29405309137.500217,1.313,52692644494.58,,2024-07-14T22:34:00.000Z,,,,,,2024-07-14 19:34:57.933378
7,11419,Toncoin,TON,toncoin,458,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506938358.6147456,5108989060.911147,True,,8,3414166606.0,25202477921.817066,,2024-07-14T22:32:00.000Z,7.381736403117132,177151639.36815062,16.6227,0.2633079,1.38490686,3.24104673,-9.87109574,5.84522188,11.09199884,18505558142.157177,0.8263,37713210534.06,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:34:57.933378
8,74,Dogecoin,DOGE,dogecoin,1022,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145117456383.70523,145117456383.70523,True,,9,,,,2024-07-14T22:34:00.000Z,0.11517046206922534,542348671.4955955,17.9072,0.98305217,3.50238211,9.03214865,-14.22418335,-26.2415522,-27.87252453,16713244506.021986,0.7463,16713244506.02,,2024-07-14T22:34:00.000Z,,,,,,2024-07-14 19:34:57.933378
9,2010,Cardano,ADA,cardano,1212,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35881016713.037,37048613783.371,False,,10,,,,2024-07-14T22:32:00.000Z,0.4326911687317127,370697288.5577191,7.045,-1.27293528,-1.44899991,22.96835468,5.25381397,-4.50301942,-5.21987405,15525399056.846098,0.6933,19471102592.93,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:34:57.933378
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87123922828.25409,87123923374.93063,True,,11,71659659264.0,9867610998.43079,,2024-07-14T22:33:00.000Z,0.13770105942142022,305957547.8815169,-14.5117,-0.21525454,-1.8685173,9.9093368,18.34298185,9.02383681,23.70094433,11997056474.400646,0.5357,11997056549.68,,2024-07-14T22:33:00.000Z,,,,,,2024-07-14 19:34:57.933378
11,5805,Avalanche,AVAX,avalanche,751,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394488696.85095835,443835066.85095835,False,,12,,,,2024-07-14T22:32:00.000Z,26.274010425263487,255653162.83713368,3.8193,0.36711999,2.67981223,1.4237869,-13.19402286,-24.23782537,-25.36285741,10364800133.710688,0.4628,18805589304.87,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:34:57.933378
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270744614710.6,589519213218776.2,False,,13,,,,2024-07-14T22:32:00.000Z,1.7518778813804084e-05,234607563.63602945,4.9437,0.6803024,3.53731441,11.8737986,-13.4551415,-30.75733378,-19.59800364,10323303836.35075,0.4609,10327656702.87,,2024-07-14T22:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-14 19:34:57.933378
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1468871261.4665897,9281461167.386282,,2024-07-14T22:34:00.000Z,6.318771025664453,144873789.07028985,31.4886,-0.16273726,1.71692289,6.01260451,2.87089792,-9.21328795,-5.79934935,9086098478.38387,0.4057,9086098478.38,,2024-07-14T22:34:00.000Z,,,,,,2024-07-14 19:34:57.933378
14,1975,Chainlink,LINK,chainlink,1814,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-14T22:33:00.000Z,13.45497425402199,280796169.7008436,36.7783,0.65917857,4.17759743,8.01896237,-8.32881558,-2.9758364,-0.98118625,8181969446.313777,0.3653,13454974254.02,,2024-07-14T22:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-14 19:34:57.933378
0,1,Bitcoin,BTC,bitcoin,11597,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720325.0,19720325.0,False,,1,,,,2024-07-14T22:34:00.000Z,60997.00465477546,24003110934.963703,67.5101,0.27017831,4.28276968,7.95415579,-7.4674139,-7.8719704,-3.68537782,1202880755818.6848,53.7101,1280937097750.28,,2024-07-14T22:34:00.000Z,,,,,,2024-07-14 19:35:58.838493
